xp_7d,empty_sessions,easy_tasks,days_since_last,streak_days,tasks_completed,session_count,goal_completion_pct,m_t,v_t,c_t,d_t,m_t_noisy,v_t_noisy,c_t_noisy,d_t_noisy,gdi_score,gdi_state,archetype,label
137.51,3,1,4.89,0,6,4,0.103,0.275,0.3,0.1,0.6984,0.3118,0.3082,0.1843,0.8283,-0.1795,WAVERING,moderate_engagement,1
344.3,2,3,0.82,6,12,2,0.475,0.6886,0.2,0.3,0.1168,0.6179,0.2117,0.2473,0.1177,0.1404,ENGAGED,high_engagement,0
415.43,1,3,1.06,3,16,7,0.309,0.8309,0.1,0.3,0.1508,0.7936,0.163,0.2365,0.2929,0.2071,ENGAGED,high_engagement,0
387.55,3,1,3.07,2,17,4,0.745,0.7751,0.3,0.1,0.4388,0.8497,0.2492,0.1474,0.4021,0.0984,WAVERING,high_engagement,1
112.41,7,8,7.28,0,5,2,0.002,0.2248,0.7,0.8,1.0,0.407,0.7159,0.8987,0.8986,-0.5101,SILENT_RECESS,low_engagement,2
116.69,0,5,1.05,1,4,8,0.753,0.2334,0.0,0.5,0.1495,0.1578,0.0,0.5416,0.1794,-0.0515,WAVERING,high_engagement,1
163.78,3,4,7.43,1,5,10,0.363,0.3276,0.3,0.4,1.0,0.2118,0.3169,0.4783,1.0,-0.309,SILENT_RECESS,moderate_engagement,2
59.85,7,11,0.17,1,3,2,0.129,0.1197,0.7,1.0,0.0243,0.0934,0.5255,0.895,0.0266,-0.2994,SILENT_RECESS,low_engagement,2
219.6,0,2,0.27,1,8,4,0.905,0.4392,0.0,0.2,0.0383,0.3531,0.0,0.1199,0.1016,0.1242,ENGAGED,high_engagement,0
414.49,0,3,2.39,1,18,5,0.583,0.829,0.0,0.3,0.3418,0.8528,0.0,0.2996,0.4356,0.169,ENGAGED,high_engagement,0
238.71,3,5,6.1,1,9,1,0.212,0.4774,0.3,0.5,0.8714,0.3619,0.3097,0.4338,0.8137,-0.2304,SILENT_RECESS,low_engagement,2
288.44,4,5,2.41,1,10,7,0.25,0.5769,0.4,0.5,0.3442,0.6513,0.4702,0.5117,0.2209,-0.0525,WAVERING,moderate_engagement,1
23.08,8,6,6.09,4,1,1,0.08,0.0462,0.8,0.6,0.8696,0.0,0.7952,0.6195,0.9485,-0.5224,SILENT_RECESS,low_engagement,2
368.73,3,4,0.11,1,16,9,0.614,0.7375,0.3,0.4,0.0154,0.6075,0.3076,0.3463,0.0,0.1504,ENGAGED,moderate_engagement,0
165.47,2,9,2.02,0,6,5,0.139,0.3309,0.2,0.9,0.2879,0.3569,0.0488,0.891,0.3433,-0.174,WAVERING,moderate_engagement,1
113.12,10,7,1.25,0,4,1,0.501,0.2262,1.0,0.7,0.1789,0.3294,1.0,0.8211,0.2806,-0.3032,SILENT_RECESS,low_engagement,2
433.88,4,6,4.66,0,16,2,0.26,0.8678,0.4,0.6,0.6656,0.8104,0.271,0.6386,0.795,-0.0526,WAVERING,moderate_engagement,1
41.07,5,6,0.29,1,2,1,0.078,0.0821,0.5,0.6,0.0411,0.0,0.5394,0.4144,0.0615,-0.1995,WAVERING,low_engagement,1
63.9,3,7,1.16,1,2,4,0.515,0.1278,0.3,0.7,0.1653,0.1317,0.2803,0.6512,0.2576,-0.1985,WAVERING,moderate_engagement,1
170.2,7,6,9.67,1,7,1,0.042,0.3404,0.7,0.6,1.0,0.2821,0.8592,0.6771,1.0,-0.4238,SILENT_RECESS,low_engagement,2
238.86,6,3,0.18,0,10,3,0.108,0.4777,0.6,0.3,0.0254,0.6037,0.5981,0.4446,0.024,0.0035,WAVERING,moderate_engagement,1
130.64,2,5,0.08,5,5,5,0.043,0.2613,0.2,0.5,0.0114,0.3382,0.1296,0.6694,0.0458,-0.0389,WAVERING,moderate_engagement,1
115.21,5,3,1.24,2,5,6,0.572,0.2304,0.5,0.3,0.1766,0.1975,0.4681,0.1994,0.1045,-0.1208,WAVERING,moderate_engagement,1
